fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
rtoe01n	RToe01N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoe02n	RToe02N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoe03n	RToe03N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoe04n	RToe04N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoe05n	RToe05N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoe06n	RToe06N	A	High	groupFile/Toes/* (Left/RightToes by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoeindex01	rToeIndex01	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoeindex02	rToeIndex02	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoeindex03	rToeIndex03	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoemid01	rToeMid01	B	Medium		referent word(s): ['toe'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
rtoemid02	rToeMid02	B	Medium		referent word(s): ['toe'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
rtoemid03	rToeMid03	B	Medium		referent word(s): ['toe'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
rtoepinky01	rToePinky01	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoepinky02	rToePinky02	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoepinky03	rToePinky03	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoes	rToes; rtoes; RToes	B	Medium		referent word(s): ['toes'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
rtoethumb01	rToeThumb01	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoethumb02	rToeThumb02	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rtoethumb03	rToeThumb03	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
ruby_head_b_jnt	Ruby_head_b_jnt	B	Medium		referent word(s): ['head'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_head_c_jnt	Ruby_head_c_jnt	B	Medium		referent word(s): ['head'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_head_eye_l	ruby_head_eye_l	B	Medium		referent word(s): ['eye', 'head'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_head_eye_r	ruby_head_eye_r	B	Medium		referent word(s): ['eye', 'head'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_lf_pinkycup_jnt	Ruby_lf_pinkyCup_jnt	B	Medium		referent word(s): ['cup', 'pinky'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_lf_ringcup_jnt	Ruby_lf_ringCup_jnt	B	Medium		referent word(s): ['cup', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_rt_pinkycup_jnt	Ruby_rt_pinkyCup_jnt	B	Medium		referent word(s): ['cup', 'pinky'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ruby_rt_ringcup_jnt	Ruby_rt_ringCup_jnt	B	Medium		referent word(s): ['cup', 'ring'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
rug	rug	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
runibrow	runibrow	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
rup	RUp	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
rupperlid	rUpperLid	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rustcylinder	rustCylinder	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
rwing01	RWing01	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing02	RWing02	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing03	RWing03	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing04	RWing04	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing06	RWing06	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing07	RWing07	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing09	RWing09	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing12	RWing12	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
rwing13	RWing13	A	High	groupFile/Wings				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
s1	S1	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
s2	s2	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
s4	s4	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
saber_end	Saber_end	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone13	saberon_Bone13	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone22	saberon_Bone22	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone28	saberon_Bone28	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone34	saberon_Bone34	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone35_lfingerindex	saberon_Bone35_LFingerIndex	B	Medium		referent word(s): ['finger', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone36_lfingermiddle	saberon_Bone36_LFingerMiddle	B	Medium		referent word(s): ['finger', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone37_lfingerpinky	saberon_Bone37_LFingerPinky	B	Medium		referent word(s): ['finger', 'pinky'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone38_lthumb	saberon_Bone38_LThumb	B	Medium		referent word(s): ['thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone39_rfingerindex	saberon_Bone39_RFingerIndex	B	Medium		referent word(s): ['finger', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone40_rfingermiddle	saberon_Bone40_RFingerMiddle	B	Medium		referent word(s): ['finger', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone41_rfingerpinky	saberon_Bone41_RFingerPinky	B	Medium		referent word(s): ['finger', 'pinky'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone42_rthumb	saberon_Bone42_RThumb	B	Medium		referent word(s): ['thumb'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
saberon_bone43	saberon_Bone43	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone44	saberon_Bone44	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone45	saberon_Bone45	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone46	saberon_Bone46	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone47	saberon_Bone47	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone48	saberon_Bone48	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
saberon_bone49	saberon_Bone49	C	Low			recognizable word(s) present: ['unknown', 'tech_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sack_bottom	Sack_Bottom	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sack_middle	Sack_Middle	B	Medium		referent word(s): ['middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
sack_top	Sack_Top	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sad eyes left	Sad Eyes Left	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
sad eyes right	Sad Eyes Right	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
sad_brows_left	sad_brows_left	A	High	groupFile/Face/Upper Face				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
sad_brows_right	sad_brows_right	A	High	groupFile/Face/Upper Face				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
saddle	saddle	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sadness_l	sadness_l	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sadness_r	sadness_r	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sakotsu_rt_l__const_kata_l__rot_sakotsu_l__x0	sakotsu_rt_l__const_kata_l__rot_sakotsu_l__x0	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sakotsu_rt_l_d__offset	sakotsu_rt_l_d__offset	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sakotsu_rt_lside_d__offset	sakotsu_rt_lside_d__offset	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sakotsu_rt_r__const_kata_r__rot_sakotsu_r__x0	sakotsu_rt_r__const_kata_r__rot_sakotsu_r__x0	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sakotsu_rt_r_d__offset	sakotsu_rt_r_d__offset	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sakotsu_rt_rside_d__offset	sakotsu_rt_rside_d__offset	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
sakura_costume_13_f	sakura_costume_13_F	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sakura_costume_1_f	sakura_costume_1_F	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sarah_bed_rigged	sarah_bed_rigged	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sarah_room_fan_rigged	sarah_room_fan_rigged	C	Low			recognizable word(s) present: ['unknown', 'generic_noun'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
sarah_soft_chair_rigged	sarah_soft_chair_rigged	C	Low			recognizable word(s) present: ['unknown', 'morph', 'generic_noun'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
sash 1a	Sash 1a	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash 1b	Sash 1b	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash 1c	Sash 1c	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash 2a	Sash 2a	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash 2b	Sash 2b	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash 2c	Sash 2c	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash a 1	Sash A 1	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash a 2	Sash A 2	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash a 3	Sash A 3	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash a 4	Sash A 4	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash b 1	Sash B 1	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash b 2	Sash B 2	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash b 3	Sash B 3	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
sash b 4	Sash B 4	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
saucer	saucer	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale-down	scale-down	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale-up	scale-up	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_x_down	scale_x_down	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_x_up	scale_x_up	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_y_down	scale_y_down	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_y_up	scale_y_up	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_z_down	scale_z_down	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scale_z_up	scale_z_up	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scaledown	ScaleDown	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scaleup	ScaleUp	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
scene_root	Scene_Root	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
school_bowtie	School_Bowtie	B	Medium		referent word(s): ['bow', 'tie'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
school_bowtie_idk	School_Bowtie_IDK	B	Medium		referent word(s): ['bow', 'tie'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
schoolshirtfit	SCHOOLShirtFIT	C	Low			recognizable word(s) present: ['unknown', 'clothing'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
scope_pos_00	Scope_Pos_00	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
screen_height	screen_height	B	Medium		referent word(s): ['screen'] -- recognizable object/prop noun with no body/clothing referent -- taxonomy-scope question (no established Props destination)			recognizable object/prop noun with no body/clothing referent -- taxonomy-scope question (no established Props destination)
scrotum00	scrotum00	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotum01	scrotum01	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumbiggerl	ScrotumBiggerL	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumcleavagedown	ScrotumCleavageDown	B	Medium		referent word(s): ['scrotum'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
scrotumcleavageup	ScrotumCleavageUp	B	Medium		referent word(s): ['scrotum'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
scrotumfoldl	ScrotumFoldL	B	Medium		referent word(s): ['scrotum'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
scrotuminflatel	ScrotumInflateL	B	Medium		referent word(s): ['scrotum'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
scrotumleft	scrotumLeft	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumright	scrotumRight	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumroot	scrotumROOT	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumsmallerl	ScrotumSmallerL	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
scrotumstretchl	ScrotumStretchL	B	Medium		referent word(s): ['scrotum'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
se_bones24	se_bones24	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
se_bones36	se_bones36	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
seat	Seat; seat	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
seat.back	Seat.Back	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
seat.base	Seat.Base	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
seat_back	seat_back	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
second_arms_l_1	Second_Arms_L_1	B	Medium		referent word(s): ['arms'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_2	Second_Arms_L_2	B	Medium		referent word(s): ['arms'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_index1	Second_Arms_L_Index1	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_index2	Second_Arms_L_Index2	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_index3	Second_Arms_L_Index3	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_index4	Second_Arms_L_Index4	B	Medium		referent word(s): ['arms', 'index'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_middle1	Second_Arms_L_Middle1	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_middle2	Second_Arms_L_Middle2	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_middle3	Second_Arms_L_Middle3	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
second_arms_l_middle4	Second_Arms_L_Middle4	B	Medium		referent word(s): ['arms', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
